order_id,customer_id,order_date,status
1,6,2026-02-08,배송중
2,151,2026-02-20,배송중
3,2,2025-10-02,결제완료
4,182,2026-04-23,결제완료
5,59,2026-04-23,결제완료
6,9,2025-09-04,배송완료
7,19,2025-12-06,배송중
8,72,2026-08-10,취소
9,55,2026-04-02,배송중
10,186,2025-12-19,취소
11,63,2026-04-30,취소
12,105,2026-05-04,배송중
13,25,2026-04-06,결제완료
14,169,2026-07-17,취소
15,91,2026-07-19,취소
16,106,2025-11-21,취소
17,187,2025-09-20,결제완료
18,173,2025-11-12,결제완료
19,16,2025-10-29,취소
20,187,2025-09-23,배송완료
21,28,2026-05-13,배송중
22,50,2026-01-15,배송중
23,138,2025-09-16,취소
24,36,2025-10-28,취소
25,47,2026-07-30,배송완료
26,119,2025-09-14,배송중
27,20,2026-05-19,취소
28,141,2026-04-14,결제완료
29,13,2026-07-24,결제완료
30,24,2026-04-24,배송중
31,43,2025-12-26,취소
32,125,2026-01-08,취소
33,55,2026-08-25,취소
34,16,2025-10-06,배송중
35,98,2025-09-21,결제완료
36,100,2025-10-14,배송완료
37,117,2026-02-10,배송완료
38,109,2025-11-10,취소
39,40,2025-11-03,배송중
40,76,2026-05-21,배송중
41,15,2025-12-21,결제완료
42,192,2026-04-27,배송완료
43,15,2026-05-16,결제완료
44,150,2026-05-28,취소
45,129,2026-05-31,배송중
46,15,2026-04-21,결제완료
47,48,2026-04-12,결제완료
48,153,2026-07-04,결제완료
49,173,2026-04-08,배송중
50,104,2025-11-09,결제완료
51,146,2026-02-25,배송중
52,149,2026-06-20,결제완료
53,159,2026-04-14,결제완료
54,108,2026-01-19,배송완료
55,67,2026-08-29,배송중
56,172,2025-09-15,배송완료
57,62,2025-10-08,배송완료
58,102,2026-06-27,배송중
59,172,2025-12-27,배송완료
60,118,2026-01-05,배송완료
61,193,2026-01-23,결제완료
62,3,2026-08-16,취소
63,160,2026-01-27,결제완료
64,19,2026-07-17,배송중
65,130,2025-09-28,배송완료
66,34,2026-06-23,배송완료
67,18,2026-02-14,배송중
68,95,2026-07-26,배송완료
69,41,2026-04-03,취소
70,140,2025-09-27,배송완료
71,157,2025-12-24,결제완료
72,171,2026-03-03,배송완료
73,170,2025-10-24,결제완료
74,35,2025-10-19,배송완료
75,30,2026-05-29,결제완료
76,191,2026-08-01,배송중
77,70,2025-12-17,배송완료
78,155,2026-01-07,배송중
79,184,2026-03-25,배송완료
80,53,2026-02-09,배송완료
81,130,2026-03-24,취소
82,65,2025-11-22,결제완료
83,24,2026-05-30,취소
84,71,2025-11-22,결제완료
85,1,2026-04-27,배송완료
86,198,2025-09-24,배송중
87,164,2025-10-14,배송완료
88,42,2026-04-11,취소
89,142,2026-06-12,취소
90,144,2026-05-04,결제완료
91,29,2026-03-26,결제완료
92,177,2025-10-06,배송중
93,140,2026-03-08,결제완료
94,95,2026-06-10,배송중
95,111,2026-05-27,배송중
96,11,2026-04-24,배송완료
97,94,2026-08-30,결제완료
98,92,2026-07-05,배송중
99,175,2026-06-03,배송중
100,171,2025-12-22,결제완료
101,91,2026-02-14,취소
102,159,2026-04-26,배송중
103,61,2026-07-28,배송중
104,46,2026-01-02,취소
105,7,2025-12-11,배송중
106,189,2026-03-25,배송완료
107,106,2026-04-13,배송중
108,69,2026-05-02,배송중
109,180,2026-01-17,결제완료
110,98,2026-08-28,결제완료
111,121,2025-10-22,배송중
112,52,2026-04-28,취소
113,90,2026-04-08,배송완료
114,59,2026-03-13,배송중
115,7,2026-03-22,배송중
116,103,2026-06-12,배송완료
117,72,2026-05-05,결제완료
118,198,2026-03-14,배송완료
119,90,2026-03-12,취소
120,174,2026-07-12,배송완료
121,8,2025-11-10,결제완료
122,67,2026-08-11,배송중
123,149,2026-04-26,배송완료
124,10,2025-12-01,결제완료
125,153,2026-06-04,취소
126,89,2025-12-23,배송완료
127,112,2025-11-16,결제완료
128,99,2025-09-02,배송중
129,66,2025-10-17,결제완료
130,182,2025-09-11,취소
131,1,2026-03-01,배송중
132,94,2026-05-02,취소
133,18,2026-07-08,배송완료
134,160,2025-10-17,배송완료
135,170,2026-06-15,결제완료
136,185,2026-07-28,배송완료
137,130,2025-11-21,배송완료
138,171,2026-07-09,취소
139,84,2026-04-28,취소
140,179,2026-02-10,배송완료
141,142,2026-02-09,배송중
142,50,2025-09-19,취소
143,171,2026-01-09,취소
144,174,2026-01-15,배송중
145,158,2026-04-07,배송완료
146,104,2026-07-12,결제완료
147,78,2026-05-07,배송완료
148,54,2025-11-23,취소
149,149,2025-09-06,배송완료
150,120,2026-05-08,취소
151,114,2025-11-19,배송중
152,131,2026-05-27,취소
153,189,2025-12-20,배송중
154,169,2025-12-09,결제완료
155,73,2026-07-05,배송완료
156,24,2025-09-28,배송중
157,173,2025-12-30,배송완료
158,58,2025-12-27,배송중
159,38,2026-03-17,결제완료
160,12,2026-04-03,배송중
161,122,2026-01-05,결제완료
162,117,2026-06-26,취소
163,162,2025-09-04,배송중
164,184,2025-10-16,취소
165,127,2026-05-26,취소
166,63,2026-01-09,배송중
167,168,2026-01-12,결제완료
168,193,2026-02-02,결제완료
169,200,2026-06-10,취소
170,57,2026-04-10,배송중
